Source,Target,Type,Weight,EdgeType,routes,dist_m
104082,104091,Directed,449.37,WALK,,238.1
104082,104081,Directed,350.21,WALK,,99.3
804101,804091,Directed,198.77,BUS,"15, 1B, 8, N1",0.0
804101,804102,Directed,313.9,WALK,,82.3
804101,804104,Directed,939.62,WALK,,55.5
502013,402011,Directed,226.57,BUS,"5, N5",0.0
502013,502011,Directed,90.5,BUS,"13, 2, 20, 20Z",0.0
502013,502011,Directed,333.82,WALK,,203.9
502013,402012,Directed,431.0,WALK,,286.2
502013,502022,Directed,340.25,WALK,,279.1
502013,502024,Directed,236.5,WALK,,218.0
502013,502014,Directed,150.84,WALK,,28.9
502013,502021,Directed,430.26,WALK,,253.4
502013,502012,Directed,251.05,WALK,,224.8
404112,404122,Directed,611.32,BUS,24,0.0
404112,404122,Directed,752.14,WALK,,197.1
404112,404121,Directed,749.41,WALK,,193.3
404112,404111,Directed,631.62,WALK,,28.4
603032,603044,Directed,144.0,BUS,"1, 1B",0.0
603032,603031,Directed,161.38,WALK,,33.7
203092,203102,Directed,80.4,BUS,"12D, 2, 24, 7",0.0
203092,203102,Directed,249.45,WALK,,236.7
203092,203112,Directed,241.79,BUS,27,0.0
203092,203091,Directed,166.46,WALK,,148.6
203092,203101,Directed,134.42,WALK,,103.7
803081,803011,Directed,120.9,BUS,"22, 5, N5",0.0
803081,803012,Directed,272.27,BUS,"18, 18L",0.0
803081,803082,Directed,215.36,WALK,,26.3
803081,803091,Directed,353.45,WALK,,131.9
803081,803092,Directed,387.84,WALK,,180.1
804132,804122,Directed,900.0,BUS,15,0.0
804132,804122,Directed,1043.35,WALK,,200.7
804132,804121,Directed,809.79,WALK,,168.6
804132,804111,Directed,450.71,WALK,,273.8
804132,804131,Directed,779.27,WALK,,125.9
801012,802012,Directed,38.12,BUS,"1, 1B, 25, 3, 3B, 5, 7, 8, N1, N5",0.0
801012,801011,Directed,431.67,WALK,,37.7
801012,801021,Directed,1271.47,WALK,,215.9
